review_id,text,text_len,num_spans,num_aspects
train-101,Máy mượt lướt web chơi game ok. Màn hình lớn thoải mái xem phim. Apple là thương hiệu tốt nhất.,95,3,3
train-1042,Cập nhật lên miu 11 ngồi rần wifi đủ 5 vạch và cả mạng dữ liệu chậm bin thì mau hết,83,2,2
train-1188,"Mn có ai giống mình không bật dữ liệu Di Động, wifi....trên thanh thông báo nó cứ chậm tầm 1,5-2,5s làm khó chịu chứ mấy cái điện thoại 3tr đang xài còn nhanh hơn.với khi xem YouTube xoay điện thoại sang góc khác thì ko xoay theo phải lắc một cái mới chịu xoay. Còn mọi thứ rất ổn",280,3,2
train-132,"Phục vụ tận tình, chu đáo, máy dùng tốt, thêm chương trình giảm giá nữa quá tuyệt vời. Phải vào đánh giá ngay",109,3,2
train-1320,"Máy tạm,game lag,giật liên tục,pin tut nhanh,khá thất vọng với siêu phẩm cua nhà samsung.chờ bản cập nhật mới xem ntn",117,4,3
train-1405,Lên mua redmi 8 k có tư vấn mua cái máy này . h chỉ muốn lên chọi vào mặt nv :) sản phẩm bị lỗi mà dám đứng đó giới thiệu pr các thứ ??? Mà lỗi cũng hay lắm lúc test vs mới mua về k bị đâu . chưa dc 1 tuần nó cứ cà giật cà giật k xài cái gì lướt lướt ngoài màn hình cũng giật :) cửa hàng lớn có mặt trên cả nước mà làm ăn như lừa đảo ... Sợ . đánh giá hết 1 lần thì k duyệt . lần này k duyệt nữa thì lên FB mà giải thích nha,424,2,2
train-1426,Loa trong thì bt còn bật loa ngoài thì đầu dây bên kia ko nghe đc j luôn. Mai phải xuống bảo hành,97,1,1
train-1438,Mình mua máy ngày 9.11 thì mình cảm nhân máy tương đối pin tuột nhanh nhưng cũng đủ sử dụng trong ngày sạc khoảng 2 tiếng là đầy máy cũng khá mượt còn cảm biến vân tay thì ổn. Camera chụp hình đẹp nét.,201,4,4
train-1768,"Mới dùng được 2 tuần. Tuần đầu camera hay đơ, và nóng máy, tuần thứ 2 camera thi thoảng bị đơ, máy cũng hay bị đơ không lm gì được phải khơi động lại, lâu lâu máy nóng và khi nóng chắc chắn bị đơ. Thi thoảng bị lỗi âm thanh không nhận driver âm thanh, mất cả loa trong và loa ngoài, mất rung luôn. Xin hỏi admin như vậy bị gì ạ",327,5,3
train-2018,Sản phẩm sài quá êm pin trâu lúc đầu hoang mang về Google nhưng được tư vấn rõ ràng an tâm sử dụng. Mấy hôm trước mới mua 1 con về sài quá êm. Bn Liêm nhân viên Huawei 628 Kha Vạn Cân hỗ trợ rất nhiệt tình cho 5 sao luôn.,221,3,3
train-2112,Trong lúc chơi game nó hay hiện cái viền xanh ngày nút thoát ko biết nó có bị lỗi gì ko anh,91,1,1
train-23,"Máy dùng rất tốt, cam,cấu hình đều ổn. Nhưng nếu tải game trên web thì hay bị lỗi ứng dụng tự đóng,",99,4,3
train-2333,Mua chưa được một tháng thì bị đen màn hình không lên được ...bị hao pin nhanh bị lác nhảy màn hình mình đi bảo hành tới 2 lần rồi nhân viên thì bảo không sao .không sao sao phải khổ đi bảo hành . Bỏ 6 triệu ra mua cái điện thoại thật thất vọng .lời khuyên cho các bạn muốn mua thật sự quá tệ .nhiều lúc chỉ muốn đập đi nhưng con số 6 triệu không hề nhỏ,353,6,5
train-2569,"Mình là fan Xiaomi khá lâu. Lúc trước từng xài Xiaomi redmi note 4,đổi qua redmi note 7 được 4 ngày rồi. Xài rất tốt, hiệu năng mượt mà, cam khá đẹp, pin trâu nhưng vẫn kh trâu bằng redmi note 4. Màn hình nét đẹp, nói chung ổn định trong tầm giá 5tr.",250,6,5
train-2882,Pin ổn đủ xài. Độ phản hồi chậm quá chậm. Nhấn đúp mở màn hình không lên luôn. 4g mà như 3g ý...,96,2,2
train-3012,Con này sài rất OK nhá. chiến game rất tốt. 2 ngày đâu tiên sài điện thoại rất nóng pin tụt nhanh. nhưng những ngày sau sài không nóng tý nào và pin cũng khá trâu. Chỉ có cái clip FB nếu mạng yếu thì hơi mờ và cam trước không đẹp. Nhưng tầm giá này thì nhất hạng. NV nhiệt tình. Bạn nào chiến game thì đừng bâng khuâng nửa.,323,6,5
train-3739,"Máy sử dụng đến ngày thứ 9 thì xuất hiện tình trạng lag máy, màng hình không nhạy.",82,1,1
train-3824,"Pin cực trâu, cam ổn, vân tay khoá các kiểu cực nhạy. 2990 đc như v là perfect 🤘",80,4,4
train-4010,Điện thoại này có rất nhiều lỗi. Nói chung có nhiều ứng dụng chưa hoạt động tốt. VD như quay video bị giật. Chụp hình kg sắc nét như quảng cáo. Đọc báo rất phức tạp. Từ khi tui xài điện thoại này là tui ít xem tin tức 24h trước kia xài Samsung 1 ngày tui đọc báo vài lần. Nói tóm lại đề nghi nhà phần mềm nâng cấp bản sửa lỗi,325,4,3
train-4031,"Xài khá ổn trong tầm giá, khuyên mọi người nên mua các tác vụ rất mượt mà mỗi tội camera hơi xấu khi chụp vào tối",113,3,3
train-4222,5 sao nè hàng Việt Nam Chất lượng cao Pin trâu kinh khủng Chơi game mượtSạc nhanh chỉ 2h15' (1% - 100%)Màn hình đẹp to rõBảo hành tốt Quá ok Các bạn nên mua,156,7,5
train-453,"Toang.. Kính corning gorilla 3 cho siêu phẩm.. Họ sài 6 xắp lên 7 luôn rồi ..Thua cấu hình Oppo Find X2 , X2 18 củ.. Con này 15 củ là vừa. Thất vọng khá nhiều",158,3,3
train-487,"Sau 1 tháng sd. Tốt : màn hình đẹp, mượt. Âm thanh ok. Camera đẹp. Tệ: máy rất mau nóng, pin tuột nhanh.1",105,6,5
train-4872,"máy sử dụng rất tốt, mượt mà, nhanh, pin khỏe, thiết kế đẹp, chụp ảnh nét, có chụp ảnh xóa phông. tôi rất ưng ý về sản phẩm, Nhân viên phục vụ tận tình, chu đáo. tôi rất hài lòng",178,8,6
train-5055,Chán ss ra bản cập nhật ngày 24-10. Tưởng đâu bản cập nhật mới nhất của ss vá lổi của bản cập nhật trứớc về vấn đề pin. Ko ngờ ss ko nghe người dùng ra bản cập nhật ngày càng tệ cập nhật sống pin suống rất nhanh tụt như tượt quần chc ss đang muốn người đung chuyện qa hãng khác xài. Ra bản cấp nhật chả thấy sửa lổi j chỉ khiến máy suống cấp thêm hiệu năng pin giãm rõ rệt,372,2,2
train-5187,Máy ok camera lâu lâu hơi lỗi khởi động. Máy hết bị nhân viên tgdd nhiệt tình mới mua dùng thấy máy chạy ok ko có hiện tượng dựt lag,132,5,4
train-5333,Giá rẻ hơn chút thì tuyệt hơn nữa.Cam đẹp.Chip mạnh hơn nữa cho những ai chơi game,82,3,3
